"pixel_x","pixel_y","cell_ID"
3282.6,-9536.7,"7x45"
3473.4,-6539.5,"8x30"
3471.9,-6937.9,"8x32"
3474.1,-7338.8,"8x34"
3469.5,-7736.4,"8x36"
3467.4,-8137.2,"8x38"
3471.4,-9337.8,"8x44"
3462.3,-9738.9,"8x46"
3650.9,-6336.8,"9x29"
3649.9,-6737,"9x31"
3654.2,-7138,"9x33"
3654.7,-7537.2,"9x35"
3647.3,-7937.9,"9x37"
3647.7,-8339.5,"9x39"
3648.8,-8741.4,"9x41"
3650.9,-9141,"9x43"
3642.4,-9541.6,"9x45"
3642.1,-9940,"9x47"
3649,-10337.9,"9x49"
3845.3,-5741.5,"10x26"
3841.4,-6142.9,"10x28"
3834.4,-6549.5,"10x30"
3839.6,-6951.6,"10x32"
3839.4,-7355.5,"10x34"
3839.3,-7756.1,"10x36"
3838.8,-8144.4,"10x38"
3833.4,-8554.1,"10x40"
3830.9,-9356.4,"10x44"
3828.8,-9758,"10x46"
3830.9,-10156,"10x48"
4022.2,-5551.5,"11x25"
4020.2,-5940.9,"11x27"
4009.4,-6353,"11x29"
4014.4,-6757.6,"11x31"
4013.1,-7155.4,"11x33"
4014.1,-7557.4,"11x35"
4004.7,-7947.4,"11x37"
4010.5,-8337.8,"11x39"
4011.8,-8760.5,"11x41"
4015.6,-9164.1,"11x43"
4006.9,-9564,"11x45"
4018.4,-9959.5,"11x47"
4014.1,-10355.8,"11x49"
4194.9,-4940.1,"12x22"
4194.8,-5340.2,"12x24"
4194.1,-5747.8,"12x26"
4195.9,-6143.3,"12x28"
4190.9,-6554.3,"12x30"
4195.8,-6951.6,"12x32"
4197.5,-7354.3,"12x34"
4200.9,-7750.3,"12x36"
4186.9,-8142.6,"12x38"
4187.2,-8553.2,"12x40"
4190.6,-8954.5,"12x42"
4191.9,-9357.6,"12x44"
4194.4,-9757.8,"12x46"
4193.3,-10154.5,"12x48"
4378,-4734.1,"13x21"
4373.2,-5143,"13x23"
4382.1,-5539.8,"13x25"
4384.9,-5933.8,"13x27"
4374.1,-6348.2,"13x29"
4377.5,-6745.5,"13x31"
4380.3,-7148.5,"13x33"
4379,-7555.3,"13x35"
4375.2,-7949.6,"13x37"
4372.9,-8347.3,"13x39"
4376.6,-8752.6,"13x41"
4375.2,-9160.5,"13x43"
4368.6,-9558.7,"13x45"
4374.2,-9955.3,"13x47"
4382.5,-10358.7,"13x49"
4567,-4130.1,"14x18"
4558.1,-4522.4,"14x20"
4555.8,-4925.8,"14x22"
4555.5,-5326.6,"14x24"
4560.2,-5727,"14x26"
4554.1,-6132.8,"14x28"
4550.7,-6524.2,"14x30"
4554.7,-6928.3,"14x32"
4559.4,-7329,"14x34"
4558.3,-7729.1,"14x36"
4552.6,-8128.4,"14x38"
4555.9,-8527.1,"14x40"
4557.5,-8929.7,"14x42"
4559.7,-9328.8,"14x44"
4549.9,-9731.5,"14x46"
4554.9,-10129.5,"14x48"
4556.3,-10531.1,"14x50"
4743.3,-3939.2,"15x17"
4745.6,-4327.9,"15x19"
4734.8,-4726.3,"15x21"
4735.4,-5128.5,"15x23"
4736.6,-5536.5,"15x25"
4741.7,-5931.5,"15x27"
4730,-6329.8,"15x29"
4734.1,-6729.5,"15x31"
4738.7,-7130.9,"15x33"
4739.5,-7532.7,"15x35"
4729.9,-7931.4,"15x37"
4738.1,-8322,"15x39"
4736.8,-8731,"15x41"
4740,-9131.5,"15x43"
4733.1,-9533.9,"15x45"
4733.6,-9933.6,"15x47"
4735.9,-10329.9,"15x49"
4738.6,-10734.1,"15x51"
4919.1,-3732.4,"16x16"
4926.6,-4132.2,"16x18"
4922.8,-4527.4,"16x20"
4917.7,-4925.8,"16x22"
4915.9,-5333.2,"16x24"
4925.1,-5724.5,"16x26"
4914,-6132.7,"16x28"
4915.3,-6527.9,"16x30"
4918.4,-6930.5,"16x32"
4917.3,-7330,"16x34"
4916.8,-7733,"16x36"
4913,-8127.2,"16x38"
4918.3,-8528.2,"16x40"
4921.6,-8926.8,"16x42"
4922.5,-9329.3,"16x44"
4913.5,-9732.7,"16x46"
4913.9,-10130.3,"16x48"
4918.5,-10533.4,"16x50"
5099.3,-3521.8,"17x15"
5106,-3926.1,"17x17"
5107.9,-4322,"17x19"
5096.5,-4725.9,"17x21"
5097.3,-5127.6,"17x23"
5101.4,-5535.4,"17x25"
5104.9,-5934.6,"17x27"
5091.6,-6328.3,"17x29"
5094.7,-6728.3,"17x31"
5098.5,-7132.7,"17x33"
5101.3,-7527.6,"17x35"
5090.7,-7927.9,"17x37"
5097.4,-8323.6,"17x39"
5098.4,-8730.2,"17x41"
5099,-9129.6,"17x43"
5088.4,-9530.9,"17x45"
5093.4,-9928.9,"17x47"
5096.6,-10329.3,"17x49"
5097.6,-10735.7,"17x51"
5278.1,-3345.2,"18x14"
5280.2,-3752.8,"18x16"
5285,-4149.6,"18x18"
5270,-4551.3,"18x20"
5273.5,-4950.6,"18x22"
5278.4,-5350.4,"18x24"
5290.8,-5749.2,"18x26"
5278.8,-6156.2,"18x28"
5274,-6551.1,"18x30"
5274.7,-6952.5,"18x32"
5286,-7353.4,"18x34"
5276.9,-7744.4,"18x36"
5266.1,-8149.5,"18x38"
5277.3,-8550.2,"18x40"
5282.2,-8954.2,"18x42"
5280.1,-9357,"18x44"
5279.2,-9750.7,"18x46"
5279.6,-10150.4,"18x48"
5282,-10554.6,"18x50"
5283.5,-10952.9,"18x52"
5458,-3145.6,"19x13"
5461.9,-3543.6,"19x15"
5463.5,-3953.1,"19x17"
5467.4,-4346.8,"19x19"
5451.1,-4742.1,"19x21"
5457.8,-5155,"19x23"
5469.8,-5541.2,"19x25"
5463.6,-5953.1,"19x27"
5451.2,-6349.9,"19x29"
5471.4,-6754.6,"19x31"
5464.3,-7148.2,"19x33"
5466.1,-7559.4,"19x35"
5451.4,-7947.6,"19x37"
5458.1,-8348.8,"19x39"
5460.5,-8752.1,"19x41"
5464.6,-9150.8,"19x43"
5458.7,-9557,"19x45"
5460.4,-9954.8,"19x47"
5459,-10352.3,"19x49"
5462.8,-10753,"19x51"
5641.8,-2943,"20x12"
5638.1,-3342.5,"20x14"
5645.9,-3743.6,"20x16"
5643.1,-4149.3,"20x18"
5631.3,-4550.9,"20x20"
5633.8,-4955.1,"20x22"
5645.7,-5349.9,"20x24"
5634.7,-5758.8,"20x26"
5637.7,-6150,"20x28"
5635.3,-6553,"20x30"
5635.4,-6951.2,"20x32"
5636.1,-7342.2,"20x34"
5638.3,-7746.9,"20x36"
5630.5,-8151.8,"20x38"
5627.3,-8554.3,"20x40"
5642.6,-8949.4,"20x42"
5659.2,-9347.8,"20x44"
5637,-9756.2,"20x46"
5638.1,-10149.7,"20x48"
5643.6,-10554.9,"20x50"
5645.1,-10952.6,"20x52"
5819,-3154.7,"21x13"
5819.3,-3550.4,"21x15"
5820.5,-3952.1,"21x17"
5822.2,-4350,"21x19"
5815,-4753.3,"21x21"
5818.9,-5155.1,"21x23"
5828.9,-5550.2,"21x25"
5830.5,-5955,"21x27"
5819,-6360.7,"21x29"
5819,-6759.9,"21x31"
5819.5,-7153.4,"21x33"
5825,-7559.1,"21x35"
5795.4,-7952.6,"21x37"
5818.7,-8353.4,"21x39"
5819.4,-8755.7,"21x41"
5822,-9157.2,"21x43"
5817.4,-9558.6,"21x45"
5831.8,-9959.7,"21x47"
5822.6,-10357.9,"21x49"
5825.9,-10760.6,"21x51"
6001.4,-2955.7,"22x12"
6006.9,-3355.2,"22x14"
6005.3,-3759.2,"22x16"
6006.4,-4158.7,"22x18"
6001.3,-4557.5,"22x20"
5996.2,-4961.8,"22x22"
6005,-5359.5,"22x24"
6002.9,-5755.7,"22x26"
6004.7,-6160.1,"22x28"
5997.6,-6557.3,"22x30"
6003,-6958.7,"22x32"
6004.6,-7362.2,"22x34"
5997.2,-7763.2,"22x36"
5998.5,-8148,"22x38"
6000.4,-8556.1,"22x40"
5999.7,-8960.9,"22x42"
6006.4,-9361,"22x44"
5997.7,-9767.2,"22x46"
5999.7,-10162,"22x48"
6010.4,-10561.2,"22x50"
6183.4,-3156.4,"23x13"
6187.9,-3554,"23x15"
6176.6,-3956.1,"23x17"
6188.2,-4355.7,"23x19"
6180.6,-4755.2,"23x21"
6184.9,-5155.3,"23x23"
6183.9,-5551.7,"23x25"
6183.8,-5969.5,"23x27"
6183.3,-6361.6,"23x29"
6185.1,-6754.5,"23x31"
6180.6,-7159.9,"23x33"
6180.4,-7566.5,"23x35"
6173,-7957.7,"23x37"
6177.3,-8355.2,"23x39"
