"pixel_x","pixel_y","cell_ID"
5810.1,-7371.4,"21x27"
5796.6,-7779.1,"21x29"
5798.6,-8176.3,"21x31"
5799.1,-8569.8,"21x33"
5804.6,-8975.6,"21x35"
5775,-9369.1,"21x37"
5798.3,-9769.8,"21x39"
5799,-10172.1,"21x41"
5801.6,-10573.7,"21x43"
5797,-10975,"21x45"
5811.5,-11376.2,"21x47"
5802.2,-11774.3,"21x49"
5989.6,-3974.1,"22x10"
5981,-4372.2,"22x12"
5986.5,-4771.7,"22x14"
5985,-5175.7,"22x16"
5986,-5575.2,"22x18"
5980.9,-5973.9,"22x20"
5972.8,-6378.2,"22x22"
5984.7,-6775.9,"22x24"
5982.5,-7172.2,"22x26"
5984.4,-7576.5,"22x28"
5977.2,-7973.7,"22x30"
5982.7,-8375.1,"22x32"
5984.3,-8778.6,"22x34"
5976.9,-9179.6,"22x36"
5978.2,-9564.4,"22x38"
5980.1,-9972.5,"22x40"
5979.4,-10377.3,"22x42"
5986.1,-10777.4,"22x44"
5977.3,-11183.6,"22x46"
5979.4,-11578.5,"22x48"
6170.4,-3773.7,"23x9"
6171.1,-4173.4,"23x11"
6163,-4572.9,"23x13"
6167.5,-4970.4,"23x15"
6156.2,-5372.6,"23x17"
6167.8,-5772.1,"23x19"
6160.3,-6171.6,"23x21"
6164.5,-6571.7,"23x23"
6163.5,-6968.1,"23x25"
6163.5,-7385.9,"23x27"
6162.9,-7778,"23x29"
6164.7,-8171,"23x31"
6160.2,-8576.3,"23x33"
6160,-8983,"23x35"
6152.6,-9374.1,"23x37"
6156.9,-9771.7,"23x39"
6156.7,-10178.6,"23x41"
6162,-10581.1,"23x43"
6159.8,-10978.4,"23x45"
6159.7,-11374.6,"23x47"
6161.5,-11782.3,"23x49"
6350.7,-3970.8,"24x10"
6344.7,-4380.3,"24x12"
6341.8,-4763.9,"24x14"
6345.9,-5169.9,"24x16"
6346.9,-5570,"24x18"
6339,-5969.8,"24x20"
6342.2,-6368.9,"24x22"
6346.2,-6765.9,"24x24"
6343,-7172.8,"24x26"
6338.9,-7576.3,"24x28"
6338.1,-7961.5,"24x30"
6337.7,-8376.5,"24x32"
6339.9,-8776.2,"24x34"
6335.4,-9171.3,"24x36"
6333.7,-9563.7,"24x38"
6332.3,-9976.9,"24x40"
6341,-10378.1,"24x42"
6342.2,-10775.2,"24x44"
6330.1,-11180,"24x46"
6338.9,-11580.8,"24x48"
6345.8,-11971,"24x50"
6530.3,-3770.6,"25x9"
6533.5,-4169.8,"25x11"
6523.9,-4566.8,"25x13"
6524.5,-4965.2,"25x15"
6525.1,-5370.7,"25x17"
6531,-5770.5,"25x19"
6521.4,-6167,"25x21"
6524.6,-6569.2,"25x23"
6524,-6967.1,"25x25"
6528.3,-7371.4,"25x27"
6524,-7765,"25x29"
6526.5,-8166.6,"25x31"
6518.9,-8574.4,"25x33"
6519.7,-8970.9,"25x35"
6513.5,-9372.6,"25x37"
6510.7,-9773.1,"25x39"
6520.8,-10175.5,"25x41"
6517.2,-10575.4,"25x43"
6515.7,-10977.8,"25x45"
6519.1,-11376.6,"25x47"
6529.5,-11769.6,"25x49"
6527.8,-12169.8,"25x51"
6714.5,-3955.5,"26x10"
6707,-4349.9,"26x12"
6702.9,-4753.3,"26x14"
6707.7,-5155.2,"26x16"
6710.4,-5553.8,"26x18"
6701.5,-5952.5,"26x20"
6702.8,-6352.5,"26x22"
6706.1,-6755.7,"26x24"
6710.6,-7154.9,"26x26"
6700.3,-7556.1,"26x28"
6702.3,-7957.5,"26x30"
6703.5,-8355.3,"26x32"
6707.8,-8756.5,"26x34"
6700.5,-9158,"26x36"
6699.2,-9561,"26x38"
6701.5,-9959,"26x40"
6703.9,-10359.2,"26x42"
6705.3,-10763.7,"26x44"
6701.1,-11153.2,"26x46"
6699.8,-11558.2,"26x48"
6703.8,-11961.3,"26x50"
6897.8,-4161.4,"27x11"
6884.6,-4556.7,"27x13"
6884,-4960.6,"27x15"
6888.1,-5363.5,"27x17"
6894.4,-5760.7,"27x19"
6880.7,-6158.2,"27x21"
6885,-6559.2,"27x23"
