ID	X	Y
cell_4609	6437.62072705087	45215.0970499768
cell_3758	8667.9896605175	35860.9964592292
cell_2083	13592.799171096	32650.3687537771
cell_687	17911.6656426305	29505.9603191317
cell_2293	12959.7514377079	28200.1726324529
cell_1425	19226.1973301177	6821.61802354548
cell_6196	1355.37334693398	36097.7309274314
cell_1334	18460.586177141	7924.1809827505
cell_6157	2342.53915457904	38931.1606635991
cell_3313	10716.9906526856	43654.1315261037
cell_5692	3518.92918039604	45751.3969315753
cell_5724	2783.41784351564	46250.7994957898
cell_1281	19659.7973091373	7962.25332656405
cell_4725	8009.14365769487	40652.2284911915
cell_1290	19538.6863420842	10010.4937467323
cell_4504	12824.2136457517	1349.51164540678
cell_3881	10241.3222597232	30568.6607195792
cell_205	20575.7968722681	36862.5701729936
cell_6302	3551.94897438721	33796.7243169171
cell_5048	5002.10851630733	38313.7042364726
cell_5413	5950.14005271731	30493.2790894729
cell_5857	4503.3534065194	40929.594967435
cell_1253	20310.2904748093	7655.4114681598
cell_1291	19448.4636903016	8294.50986072891
cell_768	18452.8355918602	24291.7969219807
cell_767	18386.6834534291	24722.6900014265
cell_3307	11851.8304486966	43454.3905741431
cell_7328	1335.52990024986	36207.4605843048
cell_164	18996.9757185986	38691.6335096072
cell_2843	15492.7407606338	11871.7646725749
cell_5386	6703.52996607152	27688.8472791148
cell_2670	13106.2374155435	20447.4542491821
cell_7350	713.274068343424	36019.1140106391
cell_5740	2430.19392557574	45660.7657904574
cell_1267	20022.9349518081	9366.70122483656
cell_1259	20275.9178659603	9768.02540275116
cell_1408	19882.5521771912	6004.24825132827
cell_6218	713.274068343424	36019.1140106391
cell_2174	15936.396302184	28541.9195537223
cell_6015	1359.50390392275	40071.0711264582
cell_4435	12832.1353268336	13389.4493573382
cell_1301	19228.1916645697	7636.37904031623
cell_4672	9280.0569810869	42805.4968961752
cell_6058	5002.10851630733	38313.7042364726
cell_5185	6893.04997537764	31963.3434640451
cell_1465	18213.7856889117	2078.75180373462
cell_6254	4592.15125187532	34199.6529954193
cell_5219	6057.63713792718	32693.9774528952
cell_4990	6721.87145688092	36074.1076720721
cell_3560	12942.833717521	38886.107971628
cell_1336	18370.9369838416	7266.51638991066
cell_1289	19542.5185434037	9308.74084403351
cell_3759	13252.6373139065	31563.8759381613
cell_6174	1876.45662293657	36775.7476666866
cell_1280	19672.3068245919	7355.95249555257
cell_6189	1496.26684763108	37761.9322015177
cell_1415	19555.5357150005	5931.05826596505
cell_1269	20038.4903479381	9072.82084663038
cell_7382	33.1260831233885	35980.3988534489
cell_1272	19919.3218269426	8767.72318318324
cell_6372	2074.5491929762	34267.6966053175
cell_1264	20119.6423579725	9696.91136215919
cell_2233	14342.0038297069	27532.9290238725
cell_7383	0	35517.6325537358
cell_5877	4082.44775450076	41511.0147731023
cell_1296	19342.5023917712	10949.5281051394
cell_1275	19811.1124608435	8519.77532891759
cell_5806	1005.4689225096	44609.6210774728
cell_6722	1005.4689225096	44609.6210774728
cell_3699	9945.4581737582	38609.4965306251
cell_3877	10250.7597211968	31080.6571336681
cell_1282	19629.731646107	8809.76295551578
cell_2187	15605.3804635181	29312.8629919701
cell_5231	5793.36597537277	31554.0954428838
cell_1429	18921.942035632	6466.84725250569
cell_1293	19402.3032675398	10034.3640155741
cell_2148	16622.7071909878	28840.7412787068
cell_809	17354.0880022979	22968.2273459809
cell_1260	20199.1111418095	8427.78894732978
cell_1399	20204.8531952679	6197.47999883126
cell_3583	12499.7363467558	37853.3583835124
cell_2076	13681.2383142544	30562.4499393059
cell_3803	12358.726696699	33802.6333899976
cell_1257	20201.5951846299	9179.31098428729
cell_5681	3823.79034813101	45174.4259159443
cell_4031	11423.3173152283	28857.2315683146
cell_1268	20054.260922263	10376.1638905498
cell_800	17566.2238114688	25440.6386281327
cell_4055	10956.4372740741	30242.6764943248
cell_1308	19067.9182230758	8276.79670227048
cell_2098	13252.6373139065	31563.8759381613
cell_1421	19291.7505092571	5667.3019202678
cell_3908	9476.43135219052	33206.0393402652
cell_3294	12824.2136457517	1349.51164540678
cell_1320	18700.4220714011	8429.12158630199
cell_3915	9297.87245797932	31276.3606844528
cell_1295	19369.684386165	7812.34317664495
cell_3987	12436.0394684531	28826.8952578555
cell_4625	6079.79200567877	45397.3795247656
cell_7363	403.261022333998	37426.5645350883
cell_1410	19783.7770724675	5078.51272973121
cell_5155	7546.69008757594	32467.3768306168
cell_4735	7782.16494984378	38885.5526335155
cell_1451	18300.8202554541	3083.75817568835
cell_6071	4703.82417600351	37976.8150771126
cell_5061	4707.20314271994	37976.4505428974
cell_7653	566.953872488717	34516.6762641758
cell_3874	10346.1425568696	33854.6746616256
cell_2509	13418.4682161731	26219.4294300602
cell_6187	1490.38580704067	36297.0758907262
cell_5513	6559.06326251326	26013.0262632871
cell_723	16953.385058985	27901.1458629157
cell_6097	3987.31403702539	38306.870891531
cell_4613	6408.28045230796	42995.0629637561
cell_3706	9782.97093824827	38868.6756338029
cell_5670	4076.85356446918	44235.1243215827
cell_5452	9069.0732587142	23565.6375142498
cell_5281	4714.20482181283	32037.7590865057
cell_4218	11514.5252642423	27171.2548676454
cell_56	20809.416091715	34629.0939760883
cell_2169	16081.2391995817	26744.7010064947
