ID	X	Y
cell_475	613.3	1659.9
cell_476	603.2	1058.5
cell_477	605.3	1473.4
cell_478	583.3	1352.4
cell_479	573.5	1212.3
cell_480	557.2	566.57
cell_481	541.8	458.62
cell_482	449.5	1568.4
cell_483	446.7	1077.3
cell_484	384	1467
cell_485	375.3	1197.6
cell_486	1666.09	874.41
cell_487	1628.9	937.71
cell_488	1586.91	516.36
cell_489	1497.7	501.54
cell_490	1497.83	1174.3
cell_491	1481.8	1237.7
cell_492	1468.47	1055.9
cell_493	1451.26	806.82
cell_494	1370.42	1270.6
cell_495	1237.01	1335
cell_496	948.7	1562.7
cell_497	911.2	1059.2
cell_498	833.5	932.93
cell_499	805.4	1544
cell_500	766.3	1081
cell_501	760.4	847.99
cell_502	727	639.03
cell_503	644.1	1591.6
cell_504	639.7	1749.5
cell_505	534.5	1638.8
cell_506	530	890.9
cell_507	497.1	759.11
cell_508	485.7	650.84
cell_509	500.7	1727.9
cell_510	451.7	872.21
cell_511	383.6	767.46
cell_512	1650.74	401.07
cell_513	1091.88	258.56
cell_514	907.1	230.15
cell_515	889.5	1957.4
cell_516	611.6	197.26
cell_517	376.9	435.9
cell_518	280.7	471.56
cell_519	272.6	639.25
cell_520	225.4	1129.9
cell_521	176	296.98
cell_522	165.5	456.62
cell_523	143.7	1055.6
cell_524	1608.43	1318.4
cell_525	1603.79	1266.6
cell_526	1361.59	874.55
cell_527	1282	838.26
cell_528	1269.52	664.49
cell_529	1191.16	542.23
cell_530	1167.2	570.19
cell_531	1144.19	614.6
cell_532	1086.92	1846.1
cell_533	1078.47	1359.5
cell_534	1070.01	575.12
cell_535	1066.5	1386.1
cell_536	1059.43	1333.2
cell_537	1053.6	481.27
cell_538	1039.8	659.27
cell_539	1027.5	1532.6
cell_540	1030.1	1864.6
cell_541	1013.6	640.93
cell_542	1009.2	1304.6
cell_543	988.7	601.66
cell_544	989.6	535.3
cell_545	979	701.94
cell_546	952.8	1249.3
cell_547	940.6	566.2
cell_548	941.1	1725.3
cell_549	931.8	949.75
cell_550	926.6	619.76
cell_551	919.7	1559.4
cell_552	882.7	558.61
cell_553	873.4	1626.3
cell_554	868.2	673.82
cell_555	867.7	1694.5
cell_556	852.6	1492
cell_557	847.3	706.85
cell_558	839.5	1576.2
cell_559	835.1	520.72
cell_560	838.3	581.5
cell_561	824.4	1394.3
cell_562	820.6	1332.6
cell_563	791	1427.6
cell_564	763.3	1454.8
cell_565	735.1	821.13
cell_566	711	1535.6
cell_567	690.5	1480.8
cell_568	684.5	1565.8
cell_569	672.7	729.27
cell_570	669.7	832.75
cell_571	615.3	1008
cell_572	1631.77	1381.4
cell_573	1621.65	1350.5
cell_574	1575.48	1237.8
cell_575	1574.19	1282.8
cell_576	1871.83	1341.3
cell_577	1822.78	1462.6
cell_578	1794.79	1640.8
cell_579	1766.51	1609.4
cell_580	1775.73	602.76
cell_581	1758.66	1291.3
cell_582	1738.45	1206.6
cell_583	1722.3	682.44
cell_584	1707.88	1354.5
cell_585	1691.12	917.27
cell_586	1677.69	1625.7
cell_587	1640.84	1286.1
cell_588	1619.95	560.14
cell_589	1583.49	782.55
cell_590	1539.62	1033.2
cell_591	1535.05	1845.2
cell_592	1525.5	532.17
cell_593	1518.26	415.9
cell_594	1503.56	671.41
cell_595	1490.68	1416.1
cell_596	1482.6	789.24
cell_597	1464.76	1366
cell_598	1445.41	1822.7
cell_599	1435.85	956.77
cell_600	1427.23	310.11
cell_601	1414.89	1147.5
cell_602	1401.27	769.97
cell_603	1386.95	648.65
cell_604	1351.88	1771.9
cell_605	1317.44	1009.1
cell_606	1297.48	364.9
cell_607	1264.53	1248.8
cell_608	1251.34	1754.7
cell_609	1242.97	1156.6
cell_610	1242.52	769.09
cell_611	1216.14	289.1
cell_612	1205.88	197.86
cell_613	1183.08	370.67
cell_614	1157.47	1808.7
cell_615	1134.59	334.21
cell_616	1104.31	955.73
cell_617	1086.58	813.56
cell_618	1074.68	408.08
cell_619	1046.1	376.77
cell_620	1019.6	893.65
cell_621	1005.2	354.42
cell_622	966.7	1627.9
cell_623	818.4	828.06
cell_624	798.8	995.7
cell_625	765.1	1293.6
cell_626	765.4	991.98
cell_627	761.7	735.77
cell_628	724	935.97
cell_629	709.7	1433.2
cell_630	602.1	407.8
cell_631	542.1	616.16
cell_632	516.5	411.79
cell_633	492.1	508.45
cell_634	452.9	583.78
cell_635	441.3	678.82
cell_636	381	684.74
cell_637	370.5	975.84
cell_638	326	466.77
cell_639	283.9	768.28
cell_640	1792.91	1544.4
cell_641	1748.63	1507.1
cell_642	1721.39	1569.1
cell_643	1719.56	1433.7
cell_644	1681.1	1326.8
cell_645	1679.92	1518.6
cell_646	1657.46	1571.7
cell_647	1642.12	1191.2
cell_648	1641.64	1237
cell_649	1621.57	1494
cell_650	1612.95	1534.4
cell_651	1605.02	1436.6
cell_652	1591.16	1193.7
cell_653	1579.68	1347
cell_654	1568.06	1446.7
cell_655	1551.6	1514.1
cell_656	1547	1385.5
cell_657	1539.28	1336.7
cell_658	1525.17	1288.2
cell_659	1516.67	1451.1
cell_660	1513.7	1205
cell_661	1496.63	1296.7
cell_662	1485.32	1325.8
cell_663	1475.56	1261.7
cell_664	1446.89	1280.9
cell_665	1427.73	1215.3
cell_666	1417.14	1068.6
cell_667	1400.4	1256.2
cell_668	1389.65	1313.2
cell_669	1390.56	1192.1
cell_670	1364.42	1161.9
cell_671	1360.02	987.56
cell_672	1350.68	1117.1
cell_673	1338.82	1221.7
cell_674	1315.16	1181.9
cell_675	1309.95	1277.6
cell_676	1295.45	1134.9
cell_677	1274.87	943.41
cell_678	1266.37	1197
cell_679	1256.31	465.62
cell_680	1258.88	555.58
cell_681	1243.76	1104.5
cell_682	1242.3	1020
cell_683	1231.86	926.48
cell_684	1225.06	1232.2
cell_685	1223.88	601.2
cell_686	1205.79	1048.3
cell_687	1200.53	691.21
cell_688	1189.33	617.23
cell_689	1191.51	1223
cell_690	1185.51	747.81
cell_691	1178.15	969.54
cell_692	1179.21	1196.3
cell_693	1162.75	1166.2
cell_694	1165.28	671.17
cell_695	1153.03	427.64
cell_696	1152.88	1333.4
cell_697	1146.56	765.03
cell_698	1143.37	503.13
cell_699	1148.23	1082.5
cell_700	1139	707.7
cell_701	1132.61	1469.7
cell_702	1128.3	1531.2
cell_703	1115.22	1033.4
cell_704	1115.22	551.75
cell_705	1116.7	1396.7
cell_706	1113.69	1318.2
cell_707	1105.75	1583.8
cell_708	1099.95	1125.1
cell_709	1103.97	457.33
cell_710	1099.32	743.39
cell_711	1092.79	1477.6
cell_712	1088.87	347.56
cell_713	1091.11	1194.7
cell_714	1082.43	684.86
cell_715	1084.01	1632.8
cell_716	1078.09	524.04
cell_717	1074.4	1547.1
cell_718	1072.79	1599
cell_719	1063.47	1038.8
cell_720	1065	1753.9
cell_721	1066.07	1670.6
cell_722	1058.84	1701.5
cell_723	1049.38	1283.5
cell_724	1042.2	1084.1
cell_725	1042.1	1725.6
cell_726	1030	526.26
cell_727	1028.5	576.41
cell_728	1030.4	1625.5
cell_729	1026.4	1685.6
cell_730	1021	1792.3
cell_731	1010.3	1497
cell_732	1011.7	1764.1
cell_733	1002.2	405.72
cell_734	998.2	1011.2
cell_735	998.5	1451.9
cell_736	996.7	452.61
cell_737	991.7	1731.5
cell_738	992.2	1406.4
cell_739	986.6	1084.6
cell_740	971.3	1527.9
cell_741	971.3	1567.9
cell_742	956.8	494.96
cell_743	965	911.84
cell_744	955.9	1755.3
cell_745	950.6	1066.3
cell_746	954.4	1482.1
cell_747	950.2	438.82
cell_748	948.3	379.99
cell_749	946	676.38
cell_750	935.1	1790.6
cell_751	935.6	1424.4
cell_752	935.4	1604.9
cell_753	929.1	1661.9
cell_754	912.5	1018.3
cell_755	907.5	725.92
cell_756	904.8	1693.7
cell_757	905.3	430.84
cell_758	904.2	777.81
cell_759	903.7	512.39
cell_760	901.9	1081.6
cell_761	894.4	1314.4
cell_762	885.6	483.26
cell_763	877.4	820.82
cell_764	875.1	1383.3
cell_765	858.3	1264.2
cell_766	853.8	466.23
cell_767	853.2	902.94
cell_768	855.9	961.03
cell_769	844.1	416.6
cell_770	844	1167.4
cell_771	836	763.6
cell_772	832.7	1013.2
cell_773	830.1	1731.2
cell_774	823.9	1073.5
cell_775	815.8	909.97
cell_776	812.1	1651.6
cell_777	807.3	1701.9
cell_778	803.5	633.35
cell_779	789.9	1213.1
cell_780	780.6	922.88
cell_781	774.5	1073.8
cell_782	765.8	1369.4
cell_783	760	1146.5
cell_784	749.6	543.26
cell_785	739.1	781.33
cell_786	735.6	628.89
cell_787	724.1	1011
cell_788	722.7	1340.4
cell_789	724.1	1078.5
cell_790	712.3	701.92
cell_791	713.1	1132.9
cell_792	717	1390.7
cell_793	664.8	1129
cell_794	654.2	1187
cell_795	652.7	1338.9
cell_796	624.4	1263.1
cell_797	626.4	1414.2
cell_798	600.3	1061.1
cell_799	593.3	912.22
cell_800	542.6	1636.4
cell_801	498.8	1517.5
cell_802	378.1	598.46
cell_803	364.7	342.92
cell_804	1038.1	817.56
cell_805	1450.99	689.58
cell_806	1391.68	1301.4
cell_807	1342.48	1462.7
cell_808	1273.32	1106.1
cell_809	1252.21	1186.7
cell_810	1208.86	271.67
cell_811	1103.93	317.41
cell_812	1039.6	407.83
cell_813	1004.7	687.62
cell_814	994.4	1261.3
cell_815	961.4	844.06
cell_816	939.1	1243.9
cell_817	926.2	912.97
cell_818	885.6	1241.4
cell_819	760.5	1230.4
cell_820	747.4	1689.1
cell_821	728.2	427.49
cell_822	673.4	1269.7
cell_823	665.9	387.5
cell_824	663	1616
cell_825	593.5	387.68
cell_826	583.8	739.29
cell_827	523	853
cell_828	498.3	1331.7
cell_829	500.6	370.57
cell_830	487	788.33
cell_831	489.1	440.33
cell_832	450.7	922.88
cell_833	456.5	1107.8
cell_834	378.3	1256.8
cell_835	1651.32	1616.2
cell_836	1619.85	1175
cell_837	1605.61	1503.9
cell_838	1567.65	1214.9
cell_839	1564.4	1643.3
cell_840	1513.26	1163.7
cell_841	1470.33	454.92
cell_842	1459	595.53
cell_843	1452.13	324.02
cell_844	1419.17	906
cell_845	1421.66	786.31
cell_846	1386.21	254.13
cell_847	1386.07	443.96
cell_848	1368.31	380.39
cell_849	1331.2	906.68
cell_850	1329.32	1280.7
cell_851	1317.34	323.03
cell_852	1292.08	1682.4
cell_853	1290.22	202.05
cell_854	1221.2	978.54
cell_855	1208.52	1324.8
cell_856	1160.23	1027.8
cell_857	1127.52	1090.8
cell_858	1120.91	1240
cell_859	1109.62	1188.4
cell_860	1120.09	1351.3
cell_861	1098.02	1313.2
cell_862	1063.84	1704.1
cell_863	1048.92	1289.4
cell_864	1052.81	1584.1
cell_865	1022	1437.4
cell_866	1000.5	1696.2
cell_867	985.2	1588.4
cell_868	977.6	1390.7
cell_869	965.5	1784.9
cell_870	942.1	1093.3
cell_871	939.5	637.47
cell_872	929.3	1709.9
cell_873	929	1789
cell_874	920.5	1631.6
cell_875	889.7	1344
cell_876	877.5	1013.4
cell_877	880.6	1551.3
cell_878	861.2	1444.5
cell_879	813.7	1282.9
cell_880	803.8	653.02
cell_881	790.9	504.95
cell_882	760.5	583.82
cell_883	648.8	1425.5
cell_884	613.3	1295.1
cell_885	559.9	1278.7
cell_886	552.3	1368.5
cell_887	453.1	605.14
cell_888	409.4	1755.5
cell_889	338.2	490.23
cell_890	1688.13	1034.8
cell_891	1665.5	1105.1
cell_892	1666.79	1257.8
cell_893	1647.67	1386.3
cell_894	1517.07	1322.6
cell_895	1512.43	1494.6
cell_896	1467.58	1247.1
cell_897	1337.78	1652.9
cell_898	1293.63	1557.5
cell_899	1262.67	836.96
cell_900	1279.91	1013.1
cell_901	1184.92	870.32
cell_902	1124.6	837.08
cell_903	1111.86	660.76
cell_904	1060.73	919.96
cell_905	1009.1	1808.3
cell_906	965.3	759.1
cell_907	871	809.31
cell_908	848.2	1136.2
cell_909	637.7	1505.3
cell_910	617.5	1344.3
cell_911	592.8	1409.3
cell_912	379.5	389.93
cell_913	374.7	447.85
