ID	x	y
loc1	16.92	9.015
loc2	16.945	11.075
loc3	16.97	10.118
loc4	16.939	12.132
loc5	16.949	13.055
loc6	16.942	15.088
loc7	16.941	17.065
loc8	16.919	16.055
loc9	9.862	9.024
loc10	12.08	9.115
loc11	10.802	9.131
loc12	13.979	9.1
loc13	15.008	9.051
loc14	15.949	9.027
loc15	15.944	10.075
loc16	15.002	11.082
loc17	15.004	10.067
loc18	15.968	11.107
loc19	13.095	11.07
loc20	13.98	11.112
loc21	13.044	10.102
loc22	14.012	10.11
loc23	14.025	13.091
loc24	13.03	12.084
loc25	13.071	13.097
loc26	14.011	12.095
loc27	15.941	12.112
loc28	15.041	12.084
loc29	15.044	13.062
loc30	15.919	13.049
loc31	10.861	10.031
loc32	12.009	11.134
loc33	12.053	10.127
loc34	10.877	11.024
loc35	9.865	9.925
loc36	9.904	11.036
loc37	9.894	13.04
loc38	9.876	12.033
loc39	12.025	13.139
loc40	10.901	13.022
loc41	10.897	12.014
loc42	12.054	12.119
loc43	12.033	15.113
loc44	10.927	15.025
loc45	12.156	14.169
loc46	10.918	14.019
loc47	9.853	15.049
loc48	9.846	14.032
loc49	9.903	17.052
loc50	9.938	16.03
loc51	11.996	16.133
loc52	12.138	17.112
loc53	10.882	16.005
loc54	10.922	17.038
loc55	15.042	15.076
loc56	15.959	14.072
loc57	15.052	14.069
loc58	15.929	15.087
loc59	13.045	14.103
loc60	14.016	15.1
loc61	13.988	14.097
loc62	12.988	15.112
loc63	13.02	17.101
loc64	13.004	16.105
loc65	14.042	17.098
loc66	14.068	16.1
loc67	16.001	16.036
loc68	15.026	17.076
loc69	15.987	17.056
loc70	15.003	16.087
loc71	15.965	19.084
loc72	15.979	20.048
loc73	15.982	18.073
loc74	15.087	18.088
loc75	15.043	19.053
loc76	15.03	20.071
loc77	13.963	18.117
loc78	14.018	20.086
loc79	13.051	18.114
loc80	13.039	19.141
loc81	14.024	19.115
loc82	13.075	20.083
loc83	10.915	19.122
loc84	12.074	19.146
loc85	12.12	18.147
loc86	10.891	18.054
loc87	12.083	20.128
loc88	10.889	20.06
loc89	9.927	19.137
loc90	9.922	20.102
loc91	9.973	18.069
loc92	16.941	18.066
loc93	16.982	20.044
loc94	16.963	19.075
loc95	7.948	14.067
loc96	7.934	15.059
loc97	7.888	17.1
loc98	7.949	16.058
loc99	9.039	13.047
loc100	8.974	15.075
loc101	9.005	14.101
loc102	9.024	17.101
loc103	8.966	16.052
loc104	8.953	18.123
loc105	9.016	19.137
loc106	7.924	19.141
loc107	7.923	18.071
loc108	14.041	21.074
loc109	13.048	21.079
loc110	16.016	21.036
loc111	15.011	21.199
loc112	9.919	21.027
loc113	12.104	21.106
loc114	10.91	21.025
loc115	20.956	13.026
loc116	21.911	12.021
loc117	21.985	13.004
loc118	20.963	12.011
loc119	24.104	13.074
loc120	23.089	13.112
loc121	23.159	12.11
loc122	18.014	13.011
loc123	18.003	12.045
loc124	18.987	12.027
loc125	18.947	13.037
loc126	20.049	13.047
loc127	20.043	12.064
loc128	20.045	15.084
loc129	18.999	14.054
loc130	20.009	14.118
loc131	18.946	15.079
loc132	18.029	15.076
loc133	17.985	14.023
loc134	18.005	16.074
loc135	18.006	17.101
loc136	18.981	16.045
loc137	20.057	16.054
loc138	19.014	17.064
loc139	20.053	17.144
loc140	23.113	15.098
loc141	24.051	15.103
loc142	24.098	14.066
loc143	23.14	14.129
loc144	21.905	14.024
loc145	20.997	14.001
loc146	20.959	15.073
loc147	21.95	15.022
loc148	21.939	16.016
loc149	21.942	17.038
loc150	20.917	16.026
loc151	20.931	17.088
loc152	23.108	17.15
loc153	24.073	16.077
loc154	24.097	17.116
loc155	23.132	16.099
loc156	25.069	12.085
loc157	26.094	13.04
loc158	25.113	13.092
loc159	26.038	12.058
loc160	26.073	15.042
loc161	26.05	14.068
loc162	25.032	14.077
loc163	25.104	15.095
loc164	26.084	17.051
loc165	26.069	16.055
loc166	25.054	16.105
loc167	25.072	17.081
loc168	25.086	19.093
loc169	26.095	20.067
loc170	25.088	18.079
loc171	25.097	20.079
loc172	26.043	18.053
loc173	26.096	19.077
loc174	23.137	19.129
loc175	24.104	19.104
loc176	23.087	18.132
loc177	24.109	18.089
loc178	24.106	20.115
loc179	23.144	20.121
loc180	21.965	20.01
loc181	20.908	18.049
loc182	20.985	20.071
loc183	20.969	18.993
loc184	21.965	19.016
loc185	21.939	18.025
loc186	19.012	19.025
loc187	20.06	19.068
loc188	18.977	18.073
loc189	20.064	20.082
loc190	18.996	20.044
loc191	20.104	18.051
loc192	17.994	18.082
