ID	x	y
loc267	16.981	26.937
loc268	18.038	27.974
loc269	18.004	26.964
loc270	16.996	27.901
loc271	14.058	28.995
loc272	15.956	28.912
loc273	15.037	28.942
loc274	16.969	28.883
loc275	9.92	26.907
loc276	7.962	22.994
loc277	20.973	26.907
loc278	18.97	26.953
loc279	27.93	26.89
loc280	24.114	28.955
loc281	25.134	28.934
loc282	29.961	18.97
