0,Slc17a7
1,Mgp
2,Gad1
3,Nov
4,Rasgrf2
5,Rorb
6,Cux2
7,Plcxd2
8,Sulf2
9,Ctgf
10,Pcp4
11,Sema3e
12,Npy
13,Sst
14,Pvalb
15,Vip
16,Calb2,
17,Cck
18,Reln
19,Fos
20,Egr1
21,Prok2
22,Egr2
23,Bdnf
24,Gja1
25,Ctss
26,Mbp
27,Flt1
