4	575	7
4	1074	8
3	1164	6
4	1331	6
5	520	11
6	31	7
7	1131	6
11	609	15
9	1355	9
9	1000	6
12	937	8
14	1144	6
15	535	7
19	954	6
21	324	8
23	727	9
22	1321	8
22	1036	7
24	94	6
27	196	6
32	824	9
29	651	7
31	1525	8
38	514	12
38	117	12
40	273	6
39	745	6
36	874	16
43	681	12
46	152	12
48	216	10
50	809	7
51	287	10
51	173	6
53	1013	7
54	1142	7
56	456	6
57	709	6
57	1129	8
59	600	6
63	225	8
65	140	7
65	481	7
66	645	6
68	281	10
68	955	6
70	1335	6
75	1371	6
75	5	6
76	1118	6
81	76	7
80	140	6
80	652	7
80	1231	6
79	244	12
84	1082	7
88	840	7
87	967	8
96	644	35
92	948	8
90	342	21
94	283	6
95	691	9
100	66	6
102	1098	8
106	1158	6
102	841	6
105	951	6
106	116	11
107	1073	7
109	1303	10
108	423	8
108	466	6
110	375	8
112	1217	7
114	391	6
112	644	8
116	143	9
116	787	9
115	93	11
116	678	6
117	284	7
118	989	11
121	1281	6
123	1004	6
123	942	7
125	1130	8
127	1181	7
128	217	6
129	303	6
127	405	8
130	517	7
130	1455	7
130	662	10
133	319	9
137	259	9
139	733	8
142	67	8
142	1106	6
144	1327	7
144	602	9
147	408	8
145	1031	6
151	685	13
147	784	8
146	917	6
148	759	7
149	1204	6
152	738	7
152	280	11
158	651	8
156	995	9
163	1196	6
167	963	7
170	17	6
172	159	6
173	1235	8
175	463	9
172	721	9
173	907	8
173	1301	10
175	507	7
176	927	10
177	942	9
177	867	6
176	1005	6
179	1332	7
181	1051	6
182	116	7
183	417	8
182	961	7
190	677	14
187	75	6
189	278	7
190	312	6
189	911	9
189	1350	6
194	336	8
193	389	11
196	625	7
198	426	6
200	252	9
209	371	6
211	865	7
212	509	7
218	159	6
214	976	8
217	583	8
218	191	6
219	924	7
221	306	6
226	1003	8
227	1094	6
227	953	11
229	515	6
232	1071	7
231	1108	9
233	846	7
236	169	6
241	324	6
238	452	8
239	798	9
241	213	7
243	865	7
245	196	6
247	11	7
251	765	7
251	431	8
253	1420	7
256	302	13
252	460	10
255	477	9
250	649	11
258	781	8
257	282	6
261	827	6
261	29	6
269	116	6
267	573	7
271	92	7
270	387	8
272	1208	8
277	292	9
275	1017	7
276	1258	6
278	274	8
276	405	8
281	1362	9
282	365	9
283	173	6
285	809	7
285	1029	6
290	5	6
289	961	6
291	37	6
293	18	8
299	92	7
304	1225	11
301	441	8
306	1017	8
309	987	6
311	106	7
314	76	6
314	635	7
316	1177	6
319	309	9
319	368	6
318	475	7
319	662	7
321	1513	6
324	254	7
324	207	6
329	547	7
331	968	7
335	417	9
334	599	6
335	695	7
336	638	7
343	1031	8
346	1106	6
349	89	6
347	809	13
358	1456	7
361	958	9
358	1011	6
360	1322	9
360	1199	8
363	253	9
363	709	7
364	1375	8
365	753	14
366	662	7
368	12	6
366	880	7
370	453	6
367	1280	8
372	139	6
372	26	12
376	1138	9
376	544	11
376	1169	9
382	1320	7
381	192	7
382	639	6
384	797	7
389	460	6
391	158	7
391	378	7
392	1473	10
394	1352	7
397	136	7
401	334	6
401	1256	10
407	283	10
404	1186	11
398	1224	29
412	804	6
414	29	12
417	120	6
415	757	12
421	1197	6
421	1214	8
423	301	6
425	467	7
425	872	6
427	1438	7
428	79	6
431	606	8
430	822	7
429	957	7
427	992	13
430	1132	8
433	1506	7
434	416	6
435	5	6
434	1150	8
431	1236	13
437	1204	15
439	1300	8
441	763	7
444	72	8
451	836	12
448	1419	6
450	943	9
450	1261	6
454	561	6
459	1485	8
459	170	7
457	1352	7
460	1508	6
464	1311	14
466	281	8
465	1073	6
477	499	6
478	1135	7
477	762	7
471	1024	26
480	643	6
479	1485	8
482	134	6
481	1295	6
483	300	7
483	1318	6
493	1191	8
494	377	7
493	711	9
493	756	7
495	900	7
490	1409	18
499	814	6
499	81	8
503	987	9
507	856	8
503	1170	6
506	1274	9
505	1289	22
508	1183	8
510	837	9
510	1339	16
512	1420	9
514	1096	8
515	1534	6
517	744	7
516	1478	12
520	857	6
522	1012	6
520	1216	6
520	1303	9
522	1395	7
527	608	6
527	990	6
527	1441	6
528	643	8
533	131	6
535	540	7
536	716	7
535	1482	7
536	669	7
538	1435	9
542	1213	9
538	1350	17
547	840	6
551	1034	6
551	1054	6
550	1525	6
557	727	6
557	1469	8
