	ACOB	OBDOP1	OBDOP2-OBINH123	OBINH4	OBINH5	OBNBL12	OBNBL3	OBNBL45	OEC
2900011O08Rik	0	0	0	0	0	1	0	0	0
Prdx6	1	0	0	0	0	0	0	0	1
Gfap	1	0	0	0	0	0	0	0	0
Matn4	0	0	0	0	0	0	0	0	1
Nrarp	0	0	0	0	0	0	0	0	1
Gal	0	1	0	0	0	0	0	0	0
Scg5	0	0	1	0	1	0	0	1	0
Sncb	0	1	0	0	1	1	0	1	0
Id2	1	0	0	1	0	0	0	0	0
Btbd17	1	0	0	0	0	0	0	0	0
Cx3cl1	0	0	1	0	0	0	0	0	0
Stmn2	0	0	0	0	0	0	1	0	0
Gria1	0	1	0	0	1	0	0	0	0
Rab3a	0	1	1	0	1	0	0	0	0
Hist1h2bc	1	0	0	0	0	0	0	0	0
Cdk4	0	0	0	0	0	0	1	0	0
Abat	0	1	0	0	0	0	0	0	0
Ndufb2	0	0	0	0	1	0	0	0	0
Dlx2	0	0	0	0	0	0	1	0	0
Atp5h	0	0	0	0	1	0	0	0	0
Rpsa	0	0	0	0	0	0	1	0	0
1700020I14Rik	0	0	0	0	1	0	0	0	0
Rtn1	0	0	0	0	0	0	1	0	0
Lcat	1	0	0	0	0	0	0	0	0
Tubb2b	0	0	0	0	0	0	1	0	0
Psat1	0	0	0	0	0	0	0	0	1
Rps24	0	0	0	0	0	0	1	0	0
Gria2	1	0	1	0	0	0	0	0	0
Tpt1	0	0	0	0	0	0	1	0	0
Ifitm3	0	0	0	0	0	0	0	0	1
Nrn1	0	0	0	0	0	1	0	0	0
Syndig1l	0	1	0	0	0	0	0	0	0
Map2k1	0	0	1	0	0	0	0	0	0
Rpl11	0	0	0	0	0	0	1	0	0
Chst2	1	0	0	0	0	0	0	0	0
Htra1	1	0	0	0	0	0	0	0	0
Rprml	0	0	0	1	0	0	0	0	0
Gng4	0	0	1	1	0	0	0	0	0
Slc6a9	1	0	0	0	0	0	0	0	0
Rps27a	0	0	0	0	0	0	1	0	0
Slc13a3	1	0	0	0	0	0	0	0	0
Rpl13a	0	0	0	0	0	0	1	0	0
Serpine2	1	0	0	0	0	0	0	1	1
Ypel3	0	0	1	0	0	0	0	0	0
Ndufa4	0	0	0	0	1	0	0	0	0
Itih3	1	0	0	0	0	0	0	0	0
Lmo1	1	0	0	0	0	0	0	0	0
Sec11c	0	0	0	0	0	0	0	0	1
Lrp1	1	0	0	0	0	0	0	0	0
Eif4a2	0	0	0	0	0	1	0	0	0
Glo1	0	0	0	0	0	0	0	0	1
Rpl36a	0	0	0	0	0	0	1	0	0
Ncan	1	0	0	0	0	0	0	0	0
Calm1	0	0	0	0	0	0	1	0	0
Laptm4b	0	0	0	0	1	0	0	0	0
Plp1	0	0	0	0	0	0	0	0	1
Rpl27	0	0	0	0	0	0	1	0	0
Tcap	0	0	0	0	1	0	0	0	0
Serp2	0	0	0	0	1	0	0	0	0
Rpl13	0	0	0	0	0	0	1	0	0
Zwint	0	1	0	0	1	1	0	0	0
Sep15	0	0	0	0	0	0	0	0	1
Nme7	0	0	0	0	0	0	0	0	1
Tspan7	1	0	0	0	0	0	0	0	0
Atp6v1g2	0	1	1	0	1	0	0	0	0
Rps4x	0	0	0	0	0	0	1	0	0
Marcksl1	0	0	0	0	0	0	1	0	0
Ptprz1	1	0	0	0	0	0	0	0	1
Grin1	0	0	1	0	0	0	0	0	0
Snca	0	1	1	0	0	0	0	1	0
F3	1	0	0	0	0	0	0	0	0
Cdhr1	0	0	0	0	0	1	0	0	0
Map1lc3a	0	0	0	0	1	1	0	0	0
Kcnj10	1	0	0	0	0	0	0	0	0
Cmtm5	0	0	0	0	0	0	0	0	1
Aplp2	0	0	0	0	1	0	0	0	0
Slc38a3	1	0	0	0	0	0	0	0	0
Dynll1	0	0	1	0	0	0	0	0	0
Ndufs6	0	0	0	0	1	0	0	0	0
Mfge8	1	0	0	0	0	0	0	0	0
Pvalb	0	0	0	0	1	0	0	0	0
Dynll2	0	0	0	0	1	0	0	0	0
Ndufb5	0	0	0	0	1	0	0	0	0
Cit	0	0	0	0	1	0	0	0	0
Fam171b	0	0	1	0	0	0	0	0	0
Cfl1	0	0	0	0	0	0	1	0	0
Rps14	0	0	0	0	0	0	1	0	0
Dlx1	0	0	0	0	0	0	1	0	0
Slc24a2	0	0	0	0	1	0	0	0	0
Rps10	0	0	0	0	0	0	1	0	0
Acsbg1	1	0	0	0	0	0	0	0	0
Olig1	1	0	0	0	0	0	0	0	0
Cacng2	0	0	0	0	1	0	0	0	0
Diras2	0	0	0	0	1	0	0	0	0
Dbi	1	0	0	0	0	0	0	0	1
Ndufv3	0	0	0	0	1	0	0	0	0
Thrsp	0	0	0	0	0	0	0	0	1
Napb	0	0	1	0	0	0	0	0	0
Arpp21	0	0	1	0	0	0	0	0	0
Ogt	0	0	1	0	0	0	0	0	0
Igfbp2	1	0	0	0	0	1	0	0	0
Trnp1	0	0	0	0	1	0	0	0	0
Mrfap1	0	0	0	0	0	1	0	0	0
Caly	0	0	0	0	0	1	0	0	0
Tcf4	0	0	0	0	1	0	0	0	0
Cryab	0	0	0	0	0	0	0	0	1
Cxcl14	1	0	0	0	0	0	0	0	0
Timp3	1	0	0	0	0	0	0	0	1
Arf3	0	0	1	0	0	0	0	0	0
Ncald	0	0	0	0	0	0	0	0	1
Cplx1	0	0	1	0	1	0	0	0	0
Snrpg	0	0	0	0	0	0	1	0	0
Gap43	0	1	0	0	0	0	0	0	0
Fabp3	0	0	0	0	1	0	0	0	0
Cpe	1	0	0	0	0	0	0	0	0
Camk2a	0	0	1	0	0	0	0	0	0
Fkbp1a	0	0	1	0	0	0	0	0	0
Laptm4a	0	0	0	0	0	0	0	0	1
Nsg2	0	0	1	0	0	0	0	0	0
Pea15a	1	0	0	0	0	0	0	0	0
Zeb2	0	0	0	0	0	0	0	1	0
Crmp1	0	0	0	0	0	0	1	0	0
Rps5	0	0	0	0	0	0	1	0	0
Cycs	0	0	0	0	1	0	0	0	0
Rasgrp1	0	0	1	0	0	0	0	0	0
Rpl4	0	0	0	0	0	0	1	0	0
Naca	0	0	0	0	0	0	1	0	0
Hint1	0	0	0	0	1	0	0	0	0
Ndufa6	0	0	0	0	1	0	0	0	0
