CellID	ClusterName	ClusterID	Region
cell_3531	Pyramidal_L2-3_L5	10	Layer 2-3 medial
cell_4611	Pyramidal_L2-3_L5	10	Layer 2-3 medial
cell_363	Pyramidal_L2-3_L5	10	Layer 2-3 lateral
cell_4577	Pyramidal_L2-3_L5	10	Layer 2-3 medial
cell_3403	Pyramidal_L2-3_L5	10	Layer 2-3 medial
cell_277	Pyramidal_L2-3_L5	10	Layer 2-3 lateral
cell_3607	Pyramidal_L2-3_L5	10	Layer 3-4
cell_5934	Pyramidal_Kcnip2	6	Layer 4
cell_1757	Pyramidal_Kcnip2	6	Layer 3-4
cell_618	Pyramidal_Kcnip2	6	Layer 4
cell_7054	Pyramidal_Kcnip2	6	Layer 4
cell_4978	Pyramidal_Kcnip2	6	Layer 4
cell_4692	Pyramidal_Kcnip2	6	Layer 2-3 medial
cell_628	Pyramidal_Kcnip2	6	Layer 4
cell_3753	Pyramidal_Kcnip2	6	Layer 4
cell_455	Pyramidal_Kcnip2	6	Layer 4
cell_1746	Pyramidal_Kcnip2	6	Layer 3-4
cell_3645	Pyramidal_Kcnip2	6	Layer 4
cell_3529	Pyramidal_Kcnip2	6	Layer 2-3 medial
cell_392	Pyramidal_Kcnip2	6	Layer 4
cell_5945	Pyramidal_Kcnip2	6	Layer 4
cell_5056	Pyramidal_Kcnip2	6	Layer 4
cell_5050	Pyramidal_Kcnip2	6	Layer 4
cell_2097	Pyramidal_Kcnip2	6	Layer 4
cell_1771	Pyramidal_Kcnip2	6	Layer 4
cell_2081	Pyramidal_Kcnip2	6	Layer 4
cell_476	Pyramidal_Kcnip2	6	Layer 4
cell_4901	Pyramidal_Kcnip2	6	Layer 4
cell_477	Pyramidal_Kcnip2	6	Layer 4
cell_1932	Pyramidal_Kcnip2	6	Layer 4
cell_3644	Pyramidal_Kcnip2	6	Layer 4
cell_6036	Pyramidal_Kcnip2	6	Layer 4
cell_666	Pyramidal_Kcnip2	6	Layer 4
cell_568	Pyramidal_Kcnip2	6	Layer 4
cell_3703	Pyramidal_Kcnip2	6	Layer 4
cell_532	Pyramidal_Kcnip2	6	Layer 4
cell_4813	Pyramidal_L3-4	5	Layer 4
cell_426	Pyramidal_L3-4	5	Layer 4
cell_102	Pyramidal_L3-4	5	Layer 2-3 lateral
cell_5864	Pyramidal_L3-4	5	Layer 4
cell_3630	Pyramidal_L3-4	5	Layer 3-4
cell_7065	Pyramidal_L3-4	5	Layer 4
cell_548	Pyramidal_L3-4	5	Layer 4
cell_1699	Pyramidal_L3-4	5	Layer 3-4
cell_1848	Pyramidal_L3-4	5	Layer 3-4
cell_1773	Pyramidal_L3-4	5	Layer 4
cell_6755	Pyramidal_L3-4	5	Layer 2-3 medial
cell_93	Pyramidal_L3-4	5	Layer 3-4
cell_4722	Pyramidal_L3-4	5	Layer 4
cell_126	Pyramidal_L3-4	5	Layer 3-4
cell_434	Pyramidal_L3-4	5	Layer 4
cell_1905	Pyramidal_L3-4	5	Layer 3-4
cell_1980	Pyramidal_L3-4	5	Layer 4
cell_5707	Pyramidal_L3-4	5	Layer 2-3 medial
cell_517	Pyramidal_L3-4	5	Layer 4
cell_5831	Pyramidal_L3-4	5	Layer 2-3 medial
cell_4837	Pyramidal_L3-4	5	Layer 4
cell_1865	Pyramidal_L3-4	5	Layer 3-4
cell_5915	Pyramidal_L3-4	5	Layer 4
cell_6191	Pyramidal_L3-4	5	Layer 6
cell_3623	Pyramidal_L3-4	5	Layer 3-4
cell_3571	Pyramidal_L3-4	5	Layer 3-4
cell_1968	Pyramidal_L3-4	5	Layer 4
cell_1727	Pyramidal_L3-4	5	Layer 3-4
cell_1880	Pyramidal_L3-4	5	Layer 3-4
cell_385	Pyramidal_L3-4	5	Layer 4
cell_4844	Pyramidal_L3-4	5	Layer 4
cell_3555	Pyramidal_L3-4	5	Layer 3-4
cell_3638	Pyramidal_L3-4	5	Layer 3-4
cell_456	Pyramidal_L3-4	5	Layer 4
cell_1830	Pyramidal_L3-4	5	Layer 3-4
cell_338	Pyramidal_L3-4	5	Layer 3-4
cell_6043	Pyramidal_L3-4	5	Layer 2-3 medial
cell_1822	Pyramidal_L3-4	5	Layer 3-4
cell_1780	Pyramidal_L3-4	5	Layer 3-4
cell_3667	Pyramidal_L3-4	5	Layer 4
cell_6758	Pyramidal_L3-4	5	Layer 2-3 medial
cell_6079	Pyramidal_L3-4	5	Layer 4
cell_1725	Pyramidal_L3-4	5	Layer 3-4
cell_1735	Pyramidal_L3-4	5	Layer 3-4
cell_479	Pyramidal_L3-4	5	Layer 4
cell_1854	Pyramidal_L3-4	5	Layer 3-4
cell_4864	Pyramidal_L3-4	5	Layer 2-3 medial
cell_1826	Pyramidal_L3-4	5	Layer 4
cell_404	Pyramidal_L3-4	5	Layer 2-3 lateral
cell_3687	Pyramidal_L3-4	5	Layer 4
cell_6018	Pyramidal_L3-4	5	Layer 4
cell_1718	Pyramidal_L3-4	5	Layer 3-4
cell_3595	Pyramidal_L3-4	5	Layer 3-4
cell_5924	Pyramidal_L3-4	5	Layer 4
cell_4959	Pyramidal_L3-4	5	Layer 4
cell_1839	Pyramidal_L3-4	5	Layer 3-4
cell_5770	Pyramidal_L3-4	5	Layer 2-3 medial
cell_3443	Pyramidal_L3-4	5	Layer 2-3 medial
cell_3444	Pyramidal_L3-4	5	Layer 2-3 medial
cell_1754	Pyramidal_L3-4	5	Layer 3-4
cell_1872	Pyramidal_L3-4	5	Layer 3-4
cell_1889	Pyramidal_L3-4	5	Layer 4
cell_1766	Pyramidal_L3-4	5	Layer 3-4
cell_5903	Pyramidal_L3-4	5	Layer 4
cell_291	Pyramidal_L3-4	5	Layer 2-3 lateral
cell_1812	Pyramidal_L3-4	5	Layer 3-4
cell_507	Pyramidal_L3-4	5	Layer 4
cell_466	Pyramidal_L3-4	5	Layer 4
cell_335	Pyramidal_L3-4	5	Layer 3-4
cell_409	Pyramidal_L3-4	5	Layer 4
cell_3617	Pyramidal_L3-4	5	Layer 3-4
cell_1686	Pyramidal_L3-4	5	Layer 3-4
cell_361	Pyramidal_L3-4	5	Layer 4
cell_3748	Pyramidal_L3-4	5	Layer 4
cell_3573	Pyramidal_L3-4	5	Layer 3-4
cell_4762	Pyramidal_L3-4	5	Layer 4
cell_1857	Pyramidal_L3-4	5	Layer 2-3 medial
cell_351	Pyramidal_L3-4	5	Layer 3-4
cell_1869	Pyramidal_L3-4	5	Layer 3-4
cell_5925	Pyramidal_L3-4	5	Layer 4
cell_441	Pyramidal_L3-4	5	Layer 2-3 lateral
cell_4829	Pyramidal_L3-4	5	Layer 4
cell_347	Pyramidal_L3-4	5	Layer 3-4
cell_535	Pyramidal_L3-4	5	Layer 3-4
cell_3548	Pyramidal_L3-4	5	Layer 3-4
cell_1851	Pyramidal_L3-4	5	Layer 3-4
cell_90	Pyramidal_L3-4	5	Layer 4
cell_1809	Pyramidal_L3-4	5	Layer 3-4
cell_4810	Pyramidal_L3-4	5	Layer 2-3 medial
cell_538	Pyramidal_L3-4	5	Layer 4
cell_3460	Pyramidal_L3-4	5	Layer 2-3 medial
cell_5913	Pyramidal_L3-4	5	Layer 4
cell_5835	Pyramidal_L3-4	5	Layer 2-3 medial
cell_1792	Pyramidal_L3-4	5	Layer 3-4
cell_3603	Pyramidal_L3-4	5	Layer 3-4
cell_3614	Pyramidal_L3-4	5	Layer 3-4
cell_642	Pyramidal_L3-4	5	Layer 4
cell_1929	Pyramidal_L3-4	5	Layer 4
cell_1794	Pyramidal_L3-4	5	Layer 4
cell_4791	Pyramidal_L3-4	5	Layer 4
cell_5816	Pyramidal_L3-4	5	Layer 4
cell_412	Pyramidal_L3-4	5	Layer 4
cell_4761	Pyramidal_L3-4	5	Layer 4
cell_7050	Pyramidal_L3-4	5	Layer 4
cell_1702	Pyramidal_L3-4	5	Layer 3-4
cell_516	Pyramidal_L3-4	5	Layer 3-4
cell_4753	Pyramidal_L3-4	5	Layer 4
cell_1704	Pyramidal_L3-4	5	Layer 3-4
cell_3598	Pyramidal_L3-4	5	Layer 4
cell_5203	Pyramidal_L3-4	5	Layer 6
cell_4896	Pyramidal_L3-4	5	Layer 4
cell_5906	Pyramidal_L3-4	5	Layer 4
cell_4856	Pyramidal_L3-4	5	Layer 2-3 medial
cell_3631	Pyramidal_L3-4	5	Layer 3-4
cell_565	Pyramidal_L3-4	5	Layer 4
cell_1913	Pyramidal_L3-4	5	Layer 4
cell_502	Pyramidal_L3-4	5	Layer 4
cell_1736	Pyramidal_L3-4	5	Layer 3-4
cell_322	Pyramidal_L3-4	5	Layer 3-4
cell_3715	Pyramidal_L3-4	5	Layer 4
cell_1833	Pyramidal_L3-4	5	Layer 3-4
cell_391	Pyramidal_L3-4	5	Layer 4
cell_4698	Pyramidal_L3-4	5	Layer 4
cell_1758	Pyramidal_L3-4	5	Layer 3-4
cell_5880	Pyramidal_L3-4	5	Layer 4
cell_7044	Pyramidal_L3-4	5	Layer 4
cell_461	Pyramidal_L3-4	5	Layer 2-3 lateral
cell_1887	Pyramidal_L3-4	5	Layer 3-4
cell_122	Pyramidal_L3-4	5	Layer 3-4
cell_4860	Pyramidal_L3-4	5	Layer 2-3 medial
cell_3557	Pyramidal_L3-4	5	Layer 4
cell_6032	Pyramidal_L3-4	5	Layer 4
cell_4777	Pyramidal_L3-4	5	Layer 4
cell_292	Pyramidal_L3-4	5	Layer 3-4
cell_320	Pyramidal_L3-4	5	Layer 4
cell_5918	Pyramidal_L3-4	5	Layer 4
cell_5693	Pyramidal_L3-4	5	Layer 2-3 medial
cell_6026	Pyramidal_L3-4	5	Layer 4
cell_1903	Pyramidal_L3-4	5	Layer 3-4
cell_1810	Pyramidal_L3-4	5	Layer 3-4
cell_5936	Pyramidal_L3-4	5	Layer 4
cell_4804	Pyramidal_L3-4	5	Layer 4
cell_7036	Pyramidal_L3-4	5	Layer 4
cell_6014	Pyramidal_L3-4	5	Layer 4
cell_4877	Pyramidal_L3-4	5	Layer 4
cell_1819	Pyramidal_L3-4	5	Layer 2-3 lateral
cell_4851	Pyramidal_L3-4	5	Layer 4
cell_1737	Pyramidal_L3-4	5	Layer 3-4
cell_5826	Pyramidal_L3-4	5	Layer 4
cell_6119	Pyramidal_L3-4	5	Layer 5
cell_64	Pyramidal_L3-4	5	Layer 4
cell_5957	Pyramidal_L3-4	5	Layer 4
cell_136	Pyramidal_L3-4	5	Layer 4
cell_3442	Pyramidal_L3-4	5	Layer 2-3 medial
cell_4715	Pyramidal_L3-4	5	Layer 4
cell_4742	Pyramidal_L3-4	5	Layer 4
cell_77	Pyramidal_L3-4	5	Layer 4
cell_518	Pyramidal_L3-4	5	Layer 3-4
cell_3710	pyramidal_L4	4	Layer 4
cell_4958	pyramidal_L4	4	Layer 4
cell_2058	pyramidal_L4	4	Layer 4
cell_563	pyramidal_L4	4	Layer 4
cell_377	pyramidal_L4	4	Layer 4
cell_3549	pyramidal_L4	4	Layer 2-3 medial
cell_3636	pyramidal_L4	4	Layer 4
cell_530	pyramidal_L4	4	Layer 4
cell_2114	pyramidal_L4	4	Layer 4
cell_651	pyramidal_L4	4	Layer 4
cell_437	pyramidal_L4	4	Layer 4
cell_386	pyramidal_L4	4	Layer 4
cell_5971	pyramidal_L4	4	Layer 4
cell_639	pyramidal_L4	4	Layer 4
cell_2064	pyramidal_L4	4	Layer 4
cell_571	pyramidal_L4	4	Layer 4
cell_3411	pyramidal_L4	4	Layer 2-3 medial
cell_1950	pyramidal_L4	4	Layer 4
cell_5991	pyramidal_L4	4	Layer 4
cell_3633	pyramidal_L4	4	Layer 4
cell_5956	pyramidal_L4	4	Layer 4
cell_641	pyramidal_L4	4	Layer 4
cell_709	pyramidal_L4	4	Layer 4
cell_111	pyramidal_L4	4	Layer 4
cell_2062	pyramidal_L4	4	Layer 4
cell_537	pyramidal_L4	4	Layer 4
cell_680	pyramidal_L4	4	Layer 4
cell_3616	pyramidal_L4	4	Layer 4
cell_390	pyramidal_L4	4	Layer 4
cell_5871	pyramidal_L4	4	Layer 4
cell_549	pyramidal_L4	4	Layer 4
cell_2024	pyramidal_L4	4	Layer 4
cell_6031	pyramidal_L4	4	Layer 4
cell_536	pyramidal_L4	4	Layer 4
cell_1775	pyramidal_L4	4	Layer 3-4
cell_3619	pyramidal_L4	4	Layer 4
cell_531	pyramidal_L4	4	Layer 4
cell_4802	pyramidal_L4	4	Layer 4
cell_539	pyramidal_L4	4	Layer 4
cell_2020	pyramidal_L4	4	Layer 4
cell_1967	pyramidal_L4	4	Layer 4
cell_4721	pyramidal_L4	4	Layer 4
cell_1948	pyramidal_L4	4	Layer 4
cell_528	pyramidal_L4	4	Layer 4
cell_1933	pyramidal_L4	4	Layer 4
cell_616	pyramidal_L4	4	Layer 4
cell_1755	pyramidal_L4	4	Layer 4
cell_3968	pyramidal_L4	4	Layer 6
cell_2077	pyramidal_L4	4	Layer 4
cell_2082	pyramidal_L4	4	Layer 4
cell_5855	pyramidal_L4	4	Layer 4
cell_2075	pyramidal_L4	4	Layer 4
cell_3739	pyramidal_L4	4	Layer 4
cell_397	pyramidal_L4	4	Layer 4
cell_635	pyramidal_L4	4	Layer 4
cell_4729	pyramidal_L4	4	Layer 2-3 medial
cell_5978	pyramidal_L4	4	Layer 4
cell_1939	pyramidal_L4	4	Layer 4
cell_1966	pyramidal_L4	4	Layer 4
cell_648	pyramidal_L4	4	Layer 4
cell_383	pyramidal_L4	4	Layer 4
cell_5058	pyramidal_L4	4	Layer 4
cell_609	pyramidal_L4	4	Layer 4
cell_7063	pyramidal_L4	4	Layer 4
cell_1955	pyramidal_L4	4	Layer 4
cell_3591	pyramidal_L4	4	Layer 4
cell_4795	pyramidal_L4	4	Layer 4
cell_3594	pyramidal_L4	4	Layer 4
cell_4935	pyramidal_L4	4	Layer 4
cell_4815	pyramidal_L4	4	Layer 4
cell_2021	pyramidal_L4	4	Layer 4
cell_1781	pyramidal_L4	4	Layer 4
cell_417	pyramidal_L4	4	Layer 4
cell_2211	pyramidal_L4	4	Layer 6
cell_1798	pyramidal_L4	4	Layer 4
cell_416	pyramidal_L4	4	Layer 4
cell_597	pyramidal_L4	4	Layer 4
cell_148	pyramidal_L4	4	Layer 4
cell_2023	pyramidal_L4	4	Layer 4
cell_2088	pyramidal_L4	4	Layer 4
cell_2025	pyramidal_L4	4	Layer 4
cell_2162	pyramidal_L4	4	Layer 5
cell_4716	pyramidal_L4	4	Layer 4
cell_372	pyramidal_L4	4	Layer 4
cell_1825	pyramidal_L4	4	Layer 4
cell_5942	pyramidal_L4	4	Layer 4
cell_2044	pyramidal_L4	4	Layer 4
cell_3656	pyramidal_L4	4	Layer 4
cell_2160	pyramidal_L4	4	Layer 5
cell_1953	pyramidal_L4	4	Layer 4
cell_3628	pyramidal_L4	4	Layer 3-4
cell_5881	pyramidal_L4	4	Layer 4
cell_1837	pyramidal_L4	4	Layer 4
cell_486	pyramidal_L4	4	Layer 4
cell_5993	pyramidal_L4	4	Layer 4
cell_104	pyramidal_L4	4	Layer 3-4
cell_2019	pyramidal_L4	4	Layer 4
cell_463	pyramidal_L4	4	Layer 4
cell_569	pyramidal_L4	4	Layer 4
cell_658	pyramidal_L4	4	Layer 4
cell_414	pyramidal_L4	4	Layer 4
cell_515	pyramidal_L4	4	Layer 4
cell_3601	pyramidal_L4	4	Layer 4
cell_602	pyramidal_L4	4	Layer 4
cell_7057	pyramidal_L4	4	Layer 4
cell_4975	pyramidal_L4	4	Layer 4
cell_67	pyramidal_L4	4	Layer 4
cell_2099	pyramidal_L4	4	Layer 4
cell_1749	pyramidal_L4	4	Layer 3-4
cell_1945	pyramidal_L4	4	Layer 4
cell_5979	pyramidal_L4	4	Layer 4
cell_1954	pyramidal_L4	4	Layer 4
cell_588	pyramidal_L4	4	Layer 4
cell_3786	pyramidal_L4	4	Layer 4
cell_4775	pyramidal_L4	4	Layer 4
cell_3602	pyramidal_L4	4	Layer 4
cell_584	pyramidal_L4	4	Layer 4
cell_7092	pyramidal_L4	4	Layer 4
cell_121	pyramidal_L4	4	Layer 4
cell_653	pyramidal_L4	4	Layer 4
cell_5834	pyramidal_L4	4	Layer 4
cell_410	pyramidal_L4	4	Layer 4
cell_4952	pyramidal_L4	4	Layer 4
cell_7055	pyramidal_L4	4	Layer 4
cell_367	pyramidal_L4	4	Layer 4
cell_649	pyramidal_L4	4	Layer 4
cell_523	pyramidal_L4	4	Layer 4
cell_620	pyramidal_L4	4	Layer 4
cell_5972	pyramidal_L4	4	Layer 4
cell_711	pyramidal_L4	4	Layer 4
cell_2007	pyramidal_L4	4	Layer 4
cell_1961	pyramidal_L4	4	Layer 4
cell_2117	pyramidal_L4	4	Layer 4
cell_2008	pyramidal_L4	4	Layer 4
cell_5941	pyramidal_L4	4	Layer 4
cell_605	pyramidal_L4	4	Layer 4
cell_5902	pyramidal_L4	4	Layer 4
cell_2029	pyramidal_L4	4	Layer 4
cell_2102	pyramidal_L4	4	Layer 4
cell_1814	pyramidal_L4	4	Layer 3-4
cell_625	pyramidal_L4	4	Layer 4
cell_509	pyramidal_L4	4	Layer 4
cell_1912	pyramidal_L4	4	Layer 4
cell_5919	pyramidal_L4	4	Layer 4
cell_4962	pyramidal_L4	4	Layer 4
cell_1991	pyramidal_L4	4	Layer 4
cell_2275	pyramidal_L4	4	Layer 6
cell_3493	pyramidal_L4	4	Layer 2-3 medial
cell_1777	pyramidal_L4	4	Layer 4
cell_6073	pyramidal_L4	4	Layer 4
cell_3793	pyramidal_L4	4	Layer 4
cell_713	pyramidal_L4	4	Layer 4
cell_1712	pyramidal_L4	4	Layer 3-4
cell_5882	pyramidal_L4	4	Layer 4
cell_7081	pyramidal_L4	4	Layer 4
cell_3575	pyramidal_L4	4	Layer 4
cell_393	pyramidal_L4	4	Layer 4
cell_3804	pyramidal_L4	4	Layer 4
cell_1936	pyramidal_L4	4	Layer 4
cell_5987	pyramidal_L4	4	Layer 4
cell_2014	pyramidal_L4	4	Layer 4
cell_2091	pyramidal_L4	4	Layer 4
cell_3654	pyramidal_L4	4	Layer 4
cell_3566	pyramidal_L4	4	Layer 4
cell_1999	pyramidal_L4	4	Layer 4
cell_501	pyramidal_L4	4	Layer 4
cell_657	pyramidal_L4	4	Layer 4
cell_4996	pyramidal_L4	4	Layer 4
cell_5969	pyramidal_L4	4	Layer 4
cell_1902	pyramidal_L4	4	Layer 4
cell_3558	pyramidal_L4	4	Layer 4
cell_4717	pyramidal_L4	4	Layer 4
cell_1947	pyramidal_L4	4	Layer 4
cell_145	pyramidal_L4	4	Layer 4
cell_748	pyramidal_L4	4	Layer 4
cell_7079	pyramidal_L4	4	Layer 4
cell_5002	pyramidal_L4	4	Layer 4
cell_1982	pyramidal_L4	4	Layer 4
cell_395	pyramidal_L4	4	Layer 4
cell_3714	pyramidal_L4	4	Layer 4
cell_489	pyramidal_L4	4	Layer 4
cell_4951	pyramidal_L4	4	Layer 4
cell_3584	pyramidal_L4	4	Layer 4
cell_567	pyramidal_L4	4	Layer 4
cell_7086	pyramidal_L4	4	Layer 4
cell_5894	pyramidal_L4	4	Layer 4
cell_5140	pyramidal_L4	4	Layer 6
cell_2013	pyramidal_L4	4	Layer 4
cell_4789	pyramidal_L4	4	Layer 4
cell_2072	pyramidal_L4	4	Layer 4
cell_4880	pyramidal_L4	4	Layer 4
cell_2115	pyramidal_L4	4	Layer 4
cell_3698	pyramidal_L4	4	Layer 4
cell_6045	pyramidal_L4	4	Layer 4
cell_3730	pyramidal_L4	4	Layer 4
cell_2251	pyramidal_L4	4	Layer 6
cell_607	pyramidal_L4	4	Layer 4
cell_346	pyramidal_L4	4	Layer 4
cell_4968	pyramidal_L4	4	Layer 4
cell_582	pyramidal_L4	4	Layer 4
cell_360	pyramidal_L4	4	Layer 4
cell_1817	pyramidal_L4	4	Layer 4
cell_424	pyramidal_L4	4	Layer 4
cell_1907	pyramidal_L4	4	Layer 4
cell_5868	pyramidal_L4	4	Layer 4
cell_428	pyramidal_L4	4	Layer 4
cell_5967	pyramidal_L4	4	Layer 4
cell_2070	pyramidal_L4	4	Layer 4
cell_1740	pyramidal_L4	4	Layer 4
cell_5847	pyramidal_L4	4	Layer 4
cell_3719	pyramidal_L4	4	Layer 4
cell_499	pyramidal_L4	4	Layer 4
cell_7069	pyramidal_L4	4	Layer 4
cell_1849	pyramidal_L4	4	Layer 4
cell_7056	pyramidal_L4	4	Layer 4
cell_5896	pyramidal_L4	4	Layer 4
cell_3678	pyramidal_L4	4	Layer 4
cell_492	pyramidal_L4	4	Layer 4
cell_6001	pyramidal_L4	4	Layer 4
cell_691	pyramidal_L4	4	Layer 4
cell_696	pyramidal_L4	4	Layer 4
cell_86	pyramidal_L4	4	Layer 4
cell_1992	pyramidal_L4	4	Layer 4
cell_2036	pyramidal_L4	4	Layer 4
cell_5998	pyramidal_L4	4	Layer 4
cell_3682	pyramidal_L4	4	Layer 4
cell_1768	pyramidal_L4	4	Layer 4
cell_4832	pyramidal_L4	4	Layer 4
cell_405	pyramidal_L4	4	Layer 4
cell_1927	pyramidal_L4	4	Layer 4
cell_527	pyramidal_L4	4	Layer 4
cell_6039	pyramidal_L4	4	Layer 4
cell_5859	pyramidal_L4	4	Layer 2-3 medial
cell_566	pyramidal_L4	4	Layer 4
cell_3671	pyramidal_L4	4	Layer 4
cell_2116	pyramidal_L4	4	Layer 4
cell_561	pyramidal_L4	4	Layer 4
cell_1934	pyramidal_L4	4	Layer 4
cell_4850	pyramidal_L4	4	Layer 4
cell_1788	pyramidal_L4	4	Layer 4
cell_2049	pyramidal_L4	4	Layer 4
cell_4894	pyramidal_L4	4	Layer 4
cell_2002	pyramidal_L4	4	Layer 4
cell_3778	pyramidal_L4	4	Layer 4
cell_6028	pyramidal_L4	4	Layer 4
cell_573	pyramidal_L4	4	Layer 4
cell_4974	pyramidal_L4	4	Layer 4
cell_4848	pyramidal_L4	4	Layer 4
cell_5873	pyramidal_L4	4	Layer 4
cell_6037	pyramidal_L4	4	Layer 4
cell_430	pyramidal_L4	4	Layer 4
cell_425	pyramidal_L4	4	Layer 4
cell_686	pyramidal_L4	4	Layer 4
cell_2031	pyramidal_L4	4	Layer 4
cell_135	pyramidal_L4	4	Layer 4
cell_570	pyramidal_L4	4	Layer 4
cell_594	pyramidal_L4	4	Layer 4
cell_5874	pyramidal_L4	4	Layer 4
cell_1898	pyramidal_L4	4	Layer 4
cell_5866	pyramidal_L4	4	Layer 4
cell_5869	pyramidal_L4	4	Layer 4
cell_5939	pyramidal_L4	4	Layer 4
cell_1951	pyramidal_L4	4	Layer 4
cell_3585	pyramidal_L4	4	Layer 4
cell_3717	pyramidal_L4	4	Layer 4
cell_547	pyramidal_L4	4	Layer 4
cell_2085	pyramidal_L4	4	Layer 4
cell_3705	pyramidal_L4	4	Layer 4
cell_1874	pyramidal_L4	4	Layer 4
cell_2004	pyramidal_L4	4	Layer 4
cell_1975	pyramidal_L4	4	Layer 4
cell_1944	pyramidal_L4	4	Layer 4
cell_3663	pyramidal_L4	4	Layer 4
cell_3637	pyramidal_L4	4	Layer 4
cell_5863	pyramidal_L4	4	Layer 4
cell_579	pyramidal_L4	4	Layer 4
cell_473	pyramidal_L4	4	Layer 4
cell_512	pyramidal_L4	4	Layer 4
cell_1789	pyramidal_L4	4	Layer 4
cell_5766	pyramidal_L4	4	Layer 2-3 medial
cell_508	pyramidal_L4	4	Layer 4
cell_3767	pyramidal_L4	4	Layer 4
cell_2079	pyramidal_L4	4	Layer 4
cell_4706	pyramidal_L4	4	Layer 4
cell_636	pyramidal_L4	4	Layer 4
cell_5862	pyramidal_L4	4	Layer 4
cell_2111	pyramidal_L4	4	Layer 4
cell_519	pyramidal_L4	4	Layer 4
cell_1917	pyramidal_L4	4	Layer 4
cell_830	pyramidal_L4	4	Layer 6
cell_533	pyramidal_L4	4	Layer 4
cell_2032	pyramidal_L4	4	Layer 4
cell_3775	pyramidal_L4	4	Layer 4
cell_376	pyramidal_L4	4	Layer 4
cell_575	pyramidal_L4	4	Layer 4
cell_3681	pyramidal_L4	4	Layer 4
cell_1922	pyramidal_L4	4	Layer 4
cell_652	pyramidal_L4	4	Layer 4
cell_6002	pyramidal_L4	4	Layer 4
cell_1873	pyramidal_L4	4	Layer 4
cell_4730	pyramidal_L4	4	Layer 2-3 medial
cell_4970	pyramidal_L4	4	Layer 4
cell_3711	pyramidal_L4	4	Layer 4
cell_467	pyramidal_L4	4	Layer 4
cell_464	pyramidal_L4	4	Layer 4
cell_2086	pyramidal_L4	4	Layer 4
cell_4841	pyramidal_L4	4	Layer 4
cell_540	pyramidal_L4	4	Layer 4
cell_557	pyramidal_L4	4	Layer 4
cell_6035	pyramidal_L4	4	Layer 4
cell_381	pyramidal_L4	4	Layer 4
cell_677	pyramidal_L4	4	Layer 4
cell_1761	pyramidal_L4	4	Layer 4
cell_68	pyramidal_L4	4	Layer 4
cell_3746	pyramidal_L4	4	Layer 4
cell_654	pyramidal_L4	4	Layer 4
cell_1994	pyramidal_L4	4	Layer 4
cell_147	pyramidal_L4	4	Layer 4
cell_3592	pyramidal_L4	4	Layer 4
cell_587	pyramidal_L4	4	Layer 4
cell_5889	pyramidal_L4	4	Layer 4
cell_4879	pyramidal_L4	4	Layer 4
cell_3777	pyramidal_L4	4	Layer 4
cell_7085	pyramidal_L4	4	Layer 4
cell_3718	pyramidal_L4	4	Layer 4
cell_2199	pyramidal_L4	4	Layer 5
cell_494	pyramidal_L4	4	Layer 4
cell_3732	pyramidal_L4	4	Layer 4
cell_4797	pyramidal_L4	4	Layer 4
cell_785	pyramidal_L4	4	Layer 4
cell_4918	pyramidal_L4	4	Layer 4
cell_3542	pyramidal_L4	4	Layer 4
cell_2037	pyramidal_L4	4	Layer 4
cell_5914	pyramidal_L4	4	Layer 4
cell_1894	pyramidal_L4	4	Layer 4
cell_5953	pyramidal_L4	4	Layer 4
cell_2035	pyramidal_L4	4	Layer 4
cell_273	pyramidal_L4	4	Layer 3-4
cell_5858	pyramidal_L4	4	Layer 4
cell_504	pyramidal_L4	4	Layer 4
cell_7070	pyramidal_L4	4	Layer 4
cell_5930	pyramidal_L4	4	Layer 4
cell_1959	pyramidal_L4	4	Layer 4
cell_1935	pyramidal_L4	4	Layer 4
cell_447	pyramidal_L4	4	Layer 4
cell_3613	pyramidal_L4	4	Layer 3-4
cell_4872	pyramidal_L4	4	Layer 4
cell_3791	pyramidal_L4	4	Layer 4
cell_448	pyramidal_L4	4	Layer 4
cell_1733	pyramidal_L4	4	Layer 4
cell_5955	pyramidal_L4	4	Layer 4
cell_5974	pyramidal_L4	4	Layer 4
cell_484	pyramidal_L4	4	Layer 4
cell_6072	pyramidal_L4	4	Layer 4
cell_2205	pyramidal_L4	4	Layer 5
cell_1957	pyramidal_L4	4	Layer 4
cell_500	pyramidal_L4	4	Layer 4
cell_2127	pyramidal_L4	4	Layer 4
cell_2042	pyramidal_L4	4	Layer 4
cell_1799	pyramidal_L4	4	Layer 4
cell_757	pyramidal_L4	4	Layer 6
cell_5984	pyramidal_L4	4	Layer 4
cell_4887	pyramidal_L4	4	Layer 4
cell_5952	pyramidal_L4	4	Layer 4
cell_3789	pyramidal_L4	4	Layer 4
cell_2059	pyramidal_L4	4	Layer 4
cell_624	pyramidal_L4	4	Layer 4
cell_4993	pyramidal_L4	4	Layer 4
cell_4840	pyramidal_L4	4	Layer 4
cell_4846	pyramidal_L4	4	Layer 4
cell_1925	pyramidal_L4	4	Layer 4
cell_524	pyramidal_L4	4	Layer 4
cell_3958	pyramidal_L4	4	Layer 6
cell_2092	pyramidal_L4	4	Layer 4
cell_5854	pyramidal_L4	4	Layer 4
cell_1871	pyramidal_L4	4	Layer 3-4
cell_2034	pyramidal_L4	4	Layer 4
