CellID	ClusterName	ClusterID	Region
cell_7382	Inhibitory_CP	18	Layer 5
cell_1272	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_6372	Inhibitory_CP	18	Layer 6
cell_1264	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_2233	Inhibitory_CP	18	Layer 6
cell_7383	Inhibitory_CP	18	Layer 6
cell_5877	Inhibitory_CP	18	Layer 4
cell_1296	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_1275	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_5806	Inhibitory_CP	18	Layer 2-3 medial
cell_6722	Inhibitory_CP	18	Layer 2-3 medial
cell_3699	Inhibitory_CP	18	Layer 4
cell_3877	Inhibitory_CP	18	Layer 6
cell_1282	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_2187	Inhibitory_CP	18	Layer 5
cell_5231	Inhibitory_CP	18	Layer 6
cell_1429	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_1293	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_2148	Inhibitory_CP	18	Layer 5
cell_809	Inhibitory_CP	18	Layer 6
cell_1260	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_1399	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_3583	Inhibitory_CP	18	Layer 2-3 medial
cell_2076	Inhibitory_CP	18	Layer 6
cell_3803	Inhibitory_CP	18	Layer 4
cell_1257	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_5681	Inhibitory_CP	18	Layer 2-3 medial
cell_4031	Inhibitory_CP	18	Layer 6
cell_1268	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_800	Inhibitory_CP	18	Layer 6
cell_4055	Inhibitory_CP	18	Layer 6
cell_1308	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_2098	Inhibitory_CP	18	Layer 5
cell_1421	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_3908	Inhibitory_CP	18	Layer 5
cell_3294	Inhibitory_CP	18	White matter
cell_1320	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_3915	Inhibitory_CP	18	Layer 6
cell_1295	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_3987	Inhibitory_CP	18	Layer 6
cell_4625	Inhibitory_CP	18	Layer 2-3 medial
cell_7363	Inhibitory_CP	18	Layer 5
cell_1410	Inhibitory_CP	18	White matter
cell_5155	Inhibitory_CP	18	Layer 6
cell_4735	Inhibitory_CP	18	Layer 4
cell_1451	Inhibitory_CP	18	White matter
cell_6071	Inhibitory_CP	18	Layer 4
cell_5061	Inhibitory_CP	18	Layer 4
cell_7653	Inhibitory_CP	18	Layer 6
cell_3874	Inhibitory_CP	18	Layer 5
cell_2509	Inhibitory_CP	18	Layer 6
cell_6187	Inhibitory_CP	18	Layer 5
cell_5513	Inhibitory_CP	18	Hippocampus
cell_723	Inhibitory_Crhbp	17	Layer 5
cell_6097	Inhibitory_Crhbp	17	Layer 4
cell_4613	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_3706	Inhibitory_Crhbp	17	Layer 4
cell_5670	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_5452	Inhibitory_Crhbp	17	Hippocampus
cell_5281	Inhibitory_Crhbp	17	Layer 6
cell_4218	Inhibitory_Crhbp	17	Layer 6
cell_56	Inhibitory_Crhbp	17	Layer 2-3 lateral
cell_2169	Inhibitory_Crhbp	17	Layer 6
cell_6531	Inhibitory_Crhbp	17	Hippocampus
cell_6181	Inhibitory_Crhbp	17	Layer 5
cell_655	Inhibitory_Crhbp	17	Layer 4
cell_868	Inhibitory_Crhbp	17	Layer 6
cell_4748	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_6720	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_4630	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_2061	Inhibitory_Crhbp	17	Layer 4
cell_4323	Inhibitory_Crhbp	17	Hippocampus
cell_6513	Inhibitory_Crhbp	17	Hippocampus
cell_6288	Inhibitory_Crhbp	17	Layer 6
cell_6096	Inhibitory_Crhbp	17	Layer 4
cell_243	Inhibitory_Crhbp	17	Layer 2-3 lateral
cell_6353	Inhibitory_Crhbp	17	Layer 6
cell_4449	Inhibitory_Crhbp	17	White matter
cell_697	Inhibitory_Crhbp	17	Layer 4
cell_89	Inhibitory_Crhbp	17	Layer 4
cell_6153	Inhibitory_Crhbp	17	Layer 6
cell_5113	Inhibitory_Crhbp	17	Layer 5
cell_5696	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_2123	Inhibitory_Crhbp	17	Layer 5
cell_4768	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_4252	Inhibitory_Crhbp	17	White matter
cell_3462	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_2510	Inhibitory_Crhbp	17	Layer 6
cell_3574	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_6456	Inhibitory_Crhbp	17	Hippocampus
cell_4035	Inhibitory_Crhbp	17	Layer 6
cell_5698	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_5488	Inhibitory_Crhbp	17	Hippocampus
cell_4596	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_6193	Inhibitory_Crhbp	17	Layer 6
cell_6251	Inhibitory_Crhbp	17	Layer 6
cell_6490	Inhibitory_Crhbp	17	Hippocampus
cell_4752	Inhibitory_Crhbp	17	Layer 4
cell_5804	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_5793	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_6496	Inhibitory_Crhbp	17	Hippocampus
cell_2253	Inhibitory_Crhbp	17	Layer 6
cell_1906	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_5057	Inhibitory_Crhbp	17	Layer 5
cell_2224	Inhibitory_Crhbp	17	Layer 6
cell_2208	Inhibitory_Crhbp	17	Layer 5
cell_2282	Inhibitory_Crhbp	17	Layer 6
cell_212	Inhibitory_Crhbp	17	Layer 2-3 lateral
cell_4782	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_1495	Inhibitory_Crhbp	17	White matter
cell_5444	Inhibitory_Crhbp	17	Hippocampus
cell_2443	Inhibitory_Crhbp	17	Layer 6
cell_6529	Inhibitory_Crhbp	17	Hippocampus
cell_634	Inhibitory_Crhbp	17	Layer 4
cell_4270	Inhibitory_Crhbp	17	Hippocampus
cell_6422	Inhibitory_Crhbp	17	Layer 6
cell_818	Inhibitory_Crhbp	17	Layer 6
cell_6182	Inhibitory_Crhbp	17	Layer 6
cell_5923	Inhibitory_Crhbp	17	Layer 4
cell_4032	Inhibitory_Crhbp	17	Layer 6
cell_5564	Inhibitory_Crhbp	17	Hippocampus
cell_4407	Inhibitory_Crhbp	17	Hippocampus
cell_4893	Inhibitory_Crhbp	17	Layer 4
cell_6508	Inhibitory_Crhbp	17	White matter
cell_4274	Inhibitory_Crhbp	17	Hippocampus
cell_6172	Inhibitory_Crhbp	17	Layer 6
cell_3707	Inhibitory_Crhbp	17	Layer 4
cell_5794	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_4300	Inhibitory_Crhbp	17	White matter
cell_3422	Inhibitory_Crhbp	17	Layer 2-3 lateral
cell_2753	Inhibitory_Crhbp	17	Hippocampus
cell_6369	Inhibitory_Crhbp	17	Layer 6
cell_2467	Inhibitory_Crhbp	17	Layer 6
cell_3948	Inhibitory_Crhbp	17	Layer 6
cell_4432	Inhibitory_Crhbp	17	White matter
cell_1006	Inhibitory_Crhbp	17	White matter
cell_736	Inhibitory_Crhbp	17	Layer 4
cell_301	Inhibitory_Crhbp	17	Layer 2-3 lateral
cell_5947	Inhibitory_Crhbp	17	Layer 4
cell_842	Inhibitory_Crhbp	17	Layer 6
cell_4166	Inhibitory_Crhbp	17	Layer 6
cell_5448	Inhibitory_Crhbp	17	Hippocampus
cell_5233	Inhibitory_Crhbp	17	Layer 6
cell_6517	Inhibitory_Crhbp	17	Hippocampus
cell_6067	Inhibitory_Crhbp	17	Layer 5
cell_3745	Inhibitory_Crhbp	17	Layer 4
cell_3713	Inhibitory_Crhbp	17	Layer 5
cell_6315	Inhibitory_Crhbp	17	Layer 6
cell_2739	Inhibitory_Crhbp	17	White matter
cell_5403	Inhibitory_Crhbp	17	White matter
cell_4343	Inhibitory_Crhbp	17	Hippocampus
cell_5112	Inhibitory_Crhbp	17	Layer 5
cell_7632	Inhibitory_Crhbp	17	Layer 6
cell_2859	Inhibitory_Crhbp	17	White matter
cell_3110	Inhibitory_Crhbp	17	Ventricle
cell_5136	Inhibitory_Crhbp	17	Layer 6
cell_3834	Inhibitory_Crhbp	17	Layer 6
cell_5703	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_7648	Inhibitory_Crhbp	17	White matter
cell_2472	Inhibitory_Crhbp	17	Layer 6
cell_1009	Inhibitory_Crhbp	17	White matter
cell_2264	Inhibitory_Crhbp	17	Layer 5
cell_7837	Inhibitory_Crhbp	17	Hippocampus
cell_4253	Inhibitory_Crhbp	17	White matter
cell_2215	Inhibitory_Crhbp	17	Layer 5
cell_4491	Inhibitory_Crhbp	17	White matter
cell_706	Inhibitory_Crhbp	17	Layer 5
cell_621	Inhibitory_Crhbp	17	Layer 4
cell_4750	Inhibitory_Crhbp	17	Layer 4
cell_2444	Inhibitory_Crhbp	17	Layer 6
cell_4945	Inhibitory_Crhbp	17	Layer 5
cell_2137	Inhibitory_Crhbp	17	Layer 5
cell_4392	Inhibitory_Crhbp	17	Hippocampus
cell_487	Inhibitory_Crhbp	17	Layer 4
cell_690	Inhibitory_Crhbp	17	Layer 4
cell_4843	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_1745	Inhibitory_Crhbp	17	Layer 3-4
cell_1046	Inhibitory_Crhbp	17	White matter
cell_5790	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_4243	Inhibitory_Crhbp	17	White matter
cell_2784	Inhibitory_Crhbp	17	Hippocampus
cell_4020	Inhibitory_Crhbp	17	Layer 6
cell_3478	Inhibitory_Crhbp	17	Layer 2-3 medial
cell_5508	Inhibitory_Crhbp	17	Hippocampus
cell_1863	Inhibitory_Crhbp	17	Layer 3-4
cell_2489	Inhibitory_Crhbp	17	Layer 6
cell_3281	Inhibitory_Crhbp	17	White matter
cell_860	Inhibitory_Cnr1	14	Layer 6
cell_852	Inhibitory_Cnr1	14	Layer 6
cell_3576	Inhibitory_Cnr1	14	Layer 4
cell_3702	Inhibitory_Cnr1	14	Layer 5
cell_3735	Inhibitory_Cnr1	14	Layer 4
cell_4599	Inhibitory_Cnr1	14	Layer 2-3 medial
cell_5845	Inhibitory_Cnr1	14	Layer 2-3 medial
cell_5738	Inhibitory_Cnr1	14	Layer 2-3 medial
cell_2242	Inhibitory_Cnr1	14	Layer 6
cell_1588	Inhibitory_Cnr1	14	Pia Layer 1
cell_4883	Inhibitory_Cnr1	14	Layer 4
cell_6289	Inhibitory_Cnr1	14	Layer 6
cell_4870	Inhibitory_Cnr1	14	Layer 2-3 medial
cell_2852	Inhibitory_Cnr1	14	White matter
cell_5688	Inhibitory_Cnr1	14	Layer 2-3 medial
cell_7341	Inhibitory_Cnr1	14	Layer 5
cell_2787	Inhibitory_Cnr1	14	Hippocampus
cell_4866	Inhibitory_Cnr1	14	Layer 2-3 medial
cell_4006	Inhibitory_Cnr1	14	Layer 6
cell_6161	Inhibitory_Cnr1	14	Layer 6
